"","JagsEstimates","ScalaEstimates","RainierEstimatesHMC50"
"alpha[1]",2.54829458642825,2.74655451952653,2.45304145232161
"alpha[10]",-3.09808250152849,-2.89934014811553,-3.19324311081683
"alpha[2]",-2.05961007697596,-1.86089841272518,-2.15510383252267
"alpha[3]",-0.0270829711523225,0.171799886135969,-0.121452563285843
"alpha[4]",-4.28576962770105,-4.08645645146418,-4.38122765833603
"alpha[5]",2.12086590133735,2.31897567397249,2.02543120922281
"alpha[6]",-0.430782214074535,-0.232338597310545,-0.526743435662868
"alpha[7]",2.15490913515736,2.35243674617052,2.0590162096776
"alpha[8]",0.0470674391858165,0.245980455891146,-0.0478485785645007
"alpha[9]",2.5865479893411,2.7853030718248,2.49198048006017
"beta[1]",3.11902692132566,3.18698817529867,3.16567937488516
"beta[10]",-1.75387331426872,-1.685069324203,-1.7074106742258
"beta[11]",1.48342144563483,1.55266122305638,1.53010549403042
"beta[12]",2.12772211627417,2.19616255393545,2.17389845623209
"beta[13]",0.956307289668087,1.02572922168104,1.00407059207846
"beta[14]",-2.15149121926478,-2.08188585776807,-2.10504524371323
"beta[15]",-4.33440076500854,-4.26473491173912,-4.28829434706511
"beta[2]",1.33000950828098,1.398246643636,1.37632865155147
"beta[3]",-1.51944142202798,-1.4505253802084,-1.47348427366643
"beta[4]",-1.69255038576624,-1.62238141681991,-1.64535241536683
"beta[5]",1.37556494354104,1.44522821687647,1.42318143889439
"beta[6]",0.511053693650933,0.580083862392078,0.557742335781369
"beta[7]",-1.9369610919568,-1.86720232008188,-1.89051421865897
"beta[8]",0.125091743906541,0.193958310492692,0.171450929086272
"beta[9]",1.88816112048603,1.95628437402061,1.93441555619201
"mu",10.0689123297342,9.80035302193021,10.1174806124366
"tau",0.984072772810289,0.984089085891493,1.00201032706557
